Fecha;Precipitaci—n;Des M‡xima;M’nima;M‡xima;alt M’nima;alt M‡xima;Desplaza;loc M’nimo;loc maximo;Flujo de lava
01/03/20;0;-;11;14;4300;4700;20;1;2;0
02/03/20;1.2;4400;13;17;4500;4700;23;1;5;0
03/03/20;1.7;4300;7;14;4400;4800;25;3;5;0
04/03/20;2.3; ;8;12;4500;4700;20;2;5;0
05/03/20;0;4300;10;14;4600;4700;20;1;4;0
06/03/20;0;4200;8;16;4400;4700;20;2;3;0
07/03/20;0;4300;9;15;4500;4800;;3;5;0
08/03/20;0.4;4300;10;16;4500;4800;25;4;6;0
09/03/20;0;4200;8;15;4500;4800;20;3;5;0
10/03/20;0;4200;9;14;4500;4800;20;2;7;0
11/03/20;0.8;4300;10;16;4500;4800;15;3;5;0
12/03/20;1.4;4300;8;13;4400;4700;15;2;4;0
13/03/20;8.3;4300;8;13;4400;4700;15;4;7;0
14/03/20;3.2;4200;5;8;;4500;12;1;2;0
15/03/20;0;4300;8;12;4400;4500;12;;;0
16/03/20;0;4200;5;8;4200;4600;12;;;500
17/03/20;0;4300;5;10;4400;4600;12;;;500
18/03/20;0;4300;5;6;4400;4500;12;;;400
19/03/20;0;4300;5;9;;4500;12;1;2;500
20/03/20;51;4200;3;6;4400;4500;12;1;2;700
21/03/20;;;4;6;4300;4600;12;;;600
22/03/20;0;4200;8;10;4500;4700;15;5;10;400
23/03/20;0;4200;6;8;4400;4700;20;;1;0
24/03/20;3.2;4200;5;7;4500;4700;20;2;3;0
25/03/20;0;4200;7;9;4000;4700;18;;2;0
26/03/20;0;4100;8;10;4400;4700;20;;1;0
27/03/20;0;;7;10;4400;4600;16;1;2;0
28/03/20;8.2;4300;8;13;4500;4800;20;4;7;0
29/03/20;0;4300;10;15;4500;4800;15;2;5;0
30/03/20;0.6;4400;11;16;4500;4800;15;3;6;0
31/03/20;7.4;4300;10;17;4500;4800;15;2;8;0
